id;name;age;male
P-000001;Jennifer Long;32;False
P-000002;Timothy Hall;82;True
P-000003;Alicia Key;84;False
P-000004;Bonnie Davidson;12;False
P-000005;Thomas Kline;98;True
P-000006;Sandra Johnston;0;False
P-000007;Laura Garza;27;False
P-000008;Anna Beard;63;False
P-000009;Jasmine Yates;8;False
P-000010;Jesse Patel;66;True
P-000011;Paul Anderson;64;True
P-000012;Ronald Montgomery;94;True
P-000013;Lisa Franco;69;False
P-000014;Laura Powell;79;False
P-000015;Joseph Wang;61;True
P-000016;Virginia Young;61;False
P-000017;Bobby Gordon;23;True
P-000018;Kenneth Miller;44;True
P-000019;Cristian Christensen;64;True
P-000020;Beth Hodges;37;False
P-000021;Lisa Stafford;48;False
P-000022;Christine Martinez;91;False
P-000023;Timothy Gomez;99;True
P-000024;Joseph Martinez;48;True
P-000025;Danielle Parker;31;False
P-000026;Robert Jones;22;True
P-000027;Darryl Myers;67;True
P-000028;Tammy Ramirez;43;False
P-000029;Richard Johnson;4;True
P-000030;James Garcia;37;True
P-000031;Sylvia Chan;9;False
P-000032;Keith Martin;44;True
P-000033;Ryan Bell;68;True
P-000034;Donna Ramirez;5;False
P-000035;Tracy Mendoza;56;False
P-000036;Benjamin Gonzales;58;True
P-000037;Aaron Wiggins;23;True
P-000038;Tara Burgess;14;False
P-000039;Craig Davis;83;True
P-000040;Joseph Watkins;89;True
P-000041;Rick Bradley;95;True
P-000042;Victoria Larsen;22;False
P-000043;Catherine Davis;15;False
P-000044;Jose Torres;71;True
P-000045;Olivia Robertson;37;False
P-000046;Philip Martinez;39;True
P-000047;Jacqueline Stout;93;False
P-000048;Michael Perkins;86;True
P-000049;Nancy Carpenter;63;False
P-000050;Shari Gardner;90;False
